Judul Resep;Tanggal;Isi Resep;URL Link;URL Gambar
Resep Jus Apel Wortel, Minuman Penangkal Flu Saat Cuaca Tak Menentu;Kompas.com, 2 Juli 2025, 05:49 WIB;"KOMPAS.com -Cuaca tak menentu bisa menjadi faktor pemicu penyakit flu dan batuk, di tengah-tengah kesibukan aktivitas sehari-hari. Flu atau influenza mudah menular melalui virus saat seseorang berkontak langsung dengan mereka yang sedang bersin maupun batuk. ""Sebisa mungkin hindari tempat yang banyak orang, terutama saat cuaca lembap dan dingin karena di tempat itu lah virus dan bakteri merajalela sehingga dapat menularkan penyakit, khususnya influenza,"" tulis Lenny Jusup dalam bukunya yang berjudul ""50 Resep Makanan untuk Meningkatkan Daya Tahan Tubuh"".";https://www.kompas.com/food/read/2025/07/02/054922175/resep-jus-apel-wortel-minuman-penangkal-flu-saat-cuaca-tak-menentu;https://asset.kompas.com/crops/nM5MG1cYXcpzYiFgNORUi_nlfz0=/0x185:667x630/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/07/02/68641f5bc0914.jpg
Resep Teh Lemon 4 Bahan untuk Hangatkan Badan Saat Cuaca Dingin;Kompas.com, 1 Juli 2025, 12:31 WIB;"KOMPAS.com -Aroma teh lemon hangat yang menenangkan dapat menemani sarapan maupun kudapan sore saat cuaca dingin. Tambahan perasan lemon dapat meningkatkan cita rasa teh hangat menjadi lebih segar saat diminum. Selain itu, kamu juga bisa mengganti takaran gula pasir dengan gula batu maupun madu yang lebih sehat. Selengkapnya, simakresep teh lemon hangatdari buku ""Minuman Hangat Penggugah Selera"" (2016) oleh Kristiyani Puspitarti terbitan Komptensi Terapan Sinergi Pustaka CV berikut ini. 1. Masak air hingga mendidih. Seduh teh hingga berwarna kecoklatan dan saring. 2. Ambil dua buah jeruk lemon, lalu peras dan saring airnya. Masukkan air jeruk ke dalam air teh yang sudah disaring dan tambahkan gula. 3. Bila suka, iris tipis jeruk lemon dan tambahkan ke dalam seduhan teh. 4. Sajikan dalam gelas dan nikmati selagi hangat.";https://www.kompas.com/food/read/2025/07/01/123100775/resep-teh-lemon-4-bahan-untuk-hangatkan-badan-saat-cuaca-dingin;https://asset.kompas.com/crops/ytSaui0qeGL3jeajB8KiLsbhUio=/101x66:899x599/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2022/09/29/633577195127d.jpg
Resep Minuman Beras Kencur untuk Masuk Angin dan Batuk, Ini Takarannya!;Kompas.com, 25 Juni 2025, 11:21 WIB;JAKARTA, KOMPAS.com- Beras kencur telah lama dikenal masyarakat sebagai ramuan tradisional yang dapat mengatasi berbagai keluhan kesehatan, mulai dari masuk angin, batuk, hingga meningkatkan daya tahan tubuh. “Ini terjadi karena dalam kencur terdapat senyawa seperti minyak atsiri, saponin, flavonoid, polifenol yang diketahui memiliki banyak manfaat,” tulis Syifa Azkia dan Tri Cahyanto dalam Jurnal Teknologi Pangan dan Ilmu Pertanian “Kajian Etnobotani Tanaman Kencur (Kaempferia galanga) di Desa Majakerta, Kecamatan Majalaya, Kabupaten Bandung” (2023) dari Program Studi Biologi, Fakultas dan Teknologi, UIN Sunan Gunung Djati Bandung. Kandungan antioksidan dan senyawa aktif dalam kencur juga efektif meredakan batuk, pilek, dan gejala masuk angin.;https://www.kompas.com/food/read/2025/06/25/112106975/resep-minuman-beras-kencur-untuk-masuk-angin-dan-batuk-ini-takarannya;https://asset.kompas.com/crops/Ey80FAJ-SXaHZGvWxVa6nharPX0=/0x0:1200x800/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/06/25/685b67aa8e93a.jpg
Cara Membuat Kunyit Asam, Minuman Penjaga Imun Tubuh saat Pancaroba;Kompas.com, 17 Juni 2025, 17:30 WIB;"KOMPAS.com -Kunyit asam merupakan minuman empon-empon yang memiliki manfaat baik bagi tubuh. Salah satunya, memperkuat sistem imun atau kekebalan tubuh. ""Kunyit asam menyehatkan karena berfungsi sebagai antiseptik, anti-peradangan sel, dan antioksidan sehingga mampu memperkuat sistem kekebalan,"" tulis Endang S. Sunaryo dalam karya bukunya berjudul ""Minuman Tradisional Penguat Kekebalan Tubuh"" (2015) terbitan Elex Media Komputindo. Endang S. Sunaryo merupakan pengamat ilmu gizi dan teknologi pangan, yang telah menekuni bidang penelitian dan pengembangan produk selama lebih dari 30 tahun. Kunyit asam cocok diminum saat daya tahan tubuh sedang menurun selama peralihan musim (pancaroba). Kamu bisa menyajikan kunyit asam dalam kondisi hangat maupun dingin, tanpa mengurangi manfaatnya. Simak resep kunyit asam untuk memperkuat sistem kekebalan tubuh dari buku ""Minuman Tradisional Penguat Kekebalan Tubuh"" (2015) oleh Endang S. Sunaryo terbitan Elex Media Komputindo berikut ini. 1. Kupas kunyit, lalu tumbuk bersama daun asam hingga benar-benar halus dan lembut. Tambahkan satu liter air matang sambil diaduk, lalu saring hingga menjadi sari kunyit daun asam. 2. Larutkan asam dengan 500 mililiter air, lalu saring menjadi sari asam. 3. Didihkan sari kunyit daun asam dan sari asam bersama sisa air, daun cengkih, dan gula aren. 4. Masukkan perasan jeruk nipis untuk menambah rasa dan warna cerah pada kunyit asam, serta garam agar rasanya seimbang. Sajikan kunyit asam. Demikian cara membuat kunyit asam, minuman penjaga imun tubuh saat musim pancaroba. Rasanya segar dan tentu bisa menjaga imun tubuh.";https://www.kompas.com/food/read/2025/06/17/173000075/cara-membuat-kunyit-asam-minuman-penjaga-imun-tubuh-saat-pancaroba;https://asset.kompas.com/crops/rrJEM-OMY6wJvuSnQLDGpFacOxM=/24x0:867x562/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2021/03/02/603e41b8eaf6b.jpg
Resep Wedang Serai Sederhana, Minuman Hangat Praktis Cukup 4 Bahan;Kompas.com, 22 Mei 2025, 19:59 WIB;"KOMPAS.com -Resep wedang serai ini bisa dicoba di rumah, khususnya bila ingin menyantap minuman hangat. ""Wedang seraitelah dikenal lama di masyarakata, biasanya dicampur dengan seduhan teh,""bunyi pernyataan dari buku ""Dari Bir Jawa Sampai Wedang Uwuh - 26 Minuman Tradisional Khas Yogyakarta"" karya Murdjiati Gardjito dan Retnosyari Septiyani (2018) terbitan CV Penerbit ANDI.";https://www.kompas.com/food/read/2025/05/22/195912475/resep-wedang-serai-sederhana-minuman-hangat-praktis-cukup-4-bahan;https://asset.kompas.com/crops/XM8sVdFvcalOHa_bgg5IedCx8kw=/0x0:1500x1000/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/05/22/682f1d38f1771.jpg
8 Minuman Alami agar Tidur Lebih Nyenyak di Malam Hari;Kompas.com, 9 Mei 2025, 09:03 WIB;KOMPAS.com- Banyak orang sulit tidur meski tubuh terasa sangat lelah. Pikiran sibuk membuat mata sulit terpejam. Padahal, kurang tidur memicu stres dan gangguan metabolisme tubuh. Tidur nyenyak penting untuk menjaga kesehatan mental.;https://www.kompas.com/food/read/2025/05/09/090300475/8-minuman-alami-agar-tidur-lebih-nyenyak-di-malam-hari;https://asset.kompas.com/crops/3xfDmzpFhWk-98VOwJSHtMSqcZY=/233x1128:2100x2372/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2022/04/05/624bf8b45a2da.jpg
7 Minuman Herbal untuk Bersihkan Paru-paru secara Alami;Kompas.com, 7 Mei 2025, 08:21 WIB;KOMPAS.com- Udara bersih kini makin sulit ditemukan di kota besar. Polusi kendaraan dan asap rokok menyerang paru-paru setiap hari. Banyak orang sering batuk tanpa sebab yang jelas. Bisa jadi itu tanda paru-paru sedang bekerja ekstra keras.;https://www.kompas.com/food/read/2025/05/07/082100075/7-minuman-herbal-untuk-bersihkan-paru-paru-secara-alami;https://asset.kompas.com/crops/47a7v7OMZNzAo10BFR1xXPh-TtU=/85x0:721x424/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2023/11/03/6544849b4ae86.png
Resep Limun Semangka Lemon, Minuman Segar Pelepas Dahaga;Kompas.com, 6 Mei 2025, 19:37 WIB;KOMPAS.com -Cuaca panas bisa membuat haus dan lemas. Minuman segar dingin, seperti limun semangka lemon bisa membantu mengembalikan kesegaran tubuh. Bahan-bahan yang dibutuhkan, antara lain semangka tanpa biji, buah lemon segar, gula pasir, es batu, dan air dingin. Proses pembuatan limun ini diblender. Apabila tidak menyukai rasa pahit dari lemon, kamu bisa membuang bagian kulitnya. Simakresep limun semangka lemonselengkapnya dari lamanSimply Recipes,Selasa (6/5/2025), berikut ini. 1. Potong-potong lemon, tapi bagian kulitnya jangan terlalu banyak untuk mengurangi rasa pahit, kemudian blender lemon bersama semangka, gula, dan satu gelas air dingin. 2. Saring limun menggunakan saringan halus, kemudian gunakan spatula silikon untuk menekan ampasnya. Buang ampas limun, lalu campur limun dengan sisa air dingin dan batu es. A post shared by Foodplace (@my.foodplace);https://www.kompas.com/food/read/2025/05/06/193700975/resep-limun-semangka-lemon-minuman-segar-pelepas-dahaga;https://asset.kompas.com/crops/y5dLDAWfXqle0XFXQV6jWXXRrtU=/0x184:750x684/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/05/06/6819d8620f89e.jpg
5 Minuman Segar Buatan Sendiri, Cocok Diminum Saat Cuaca Panas;Kompas.com, 5 Mei 2025, 17:00 WIB;KOMPAS.com –Akhir-akhir ini, suhu udara terasa meningkat dan sinar matahari pun terasa menyengat. Dalam kondisi seperti ini, tidak ada yang lebih menyegarkan daripada menikmati minuman dingin. Selain bisa menghilangkan dahaga,minuman segarjuga membantu menjaga tubuh tetap terhidrasi dengan baik. Memilih minuman yang mengandung vitamin, terutama dari bahan alami seperti buah-buahan, dapat membantu menjaga daya tahan tubuh agar tetap fit. Berikut ini beberapa pilihan minuman segar yang cocok dikonsumsi saat cuaca panas melanda: Dok. Shutterstock/Amallia EkaIlustrasi es timun serut selasihJika biasanya timun hanya dijadikan lalapan, kali ini timun bisa disulap menjadi minuman es yang menyegarkan. Dikutip dariKompas.com(31/7/2020), berikut resepnya: Catatan: Sirup melon dapat diganti dengan larutan gula batu atau gula pasir sesuai selera.;https://www.kompas.com/food/read/2025/05/05/170000075/5-minuman-segar-buatan-sendiri-cocok-diminum-saat-cuaca-panas;https://asset.kompas.com/crops/SyLrbU_SUAVxHsFMbhyaNMcY3JU=/0x0:1000x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2022/04/07/624e438f17b4d.jpeg
Resep Jus Jeruk Aroma Jahe, Minuman Segar untuk Cuaca Panas;Kompas.com, 25 April 2025, 10:32 WIB;KOMPAS.com -Bila bosan dengan jus jeruk biasa, cobalah membuat jus jeruk aroma jahe di rumah. Rasa jeruk medan yang manis dan segar, terasa cocok dipadukan dengan air jahe yang menghangatkan. Simak resep dancara membuat jus jeruk aroma jahe, dilansir dari lamanSajian Sedap, Jumat (25/4/2025).;https://www.kompas.com/food/read/2025/04/25/103211175/resep-jus-jeruk-aroma-jahe-minuman-segar-untuk-cuaca-panas;https://asset.kompas.com/crops/P3KGCP5IwXCXFHQ72a9t0o4fVU4=/0x0:698x465/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/04/25/680aff93250b9.jpg
Resep Wedang Jahe Jeruk Nipis, Minuman Hangat Saat Badan Meriang;Kompas.com, 15 April 2025, 17:03 WIB;KOMPAS.com- Perubahan cuaca sering membuat tubuh cepat meriang. Apalagi saat pagi dan malam terasa lebih dingin. Masuk angin kerap datang tanpa aba-aba sebelumnya. Badan terasa tidak nyaman dan perut mulai kembung. Banyak orang memilih minuman hangat sebagai penenang. Salah satu pilihan alami adalah wedang jahe. Aromanya menenangkan dan sensasi pedasnya menghangatkan tubuh.;https://www.kompas.com/food/read/2025/04/15/170300075/resep-wedang-jahe-jeruk-nipis-minuman-hangat-saat-badan-meriang;https://asset.kompas.com/crops/wvyHoGVfnMDMinLou4OBjhrgu5I=/0x0:1000x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2021/09/21/6149c1ca5c443.jpg
